Year,State,Area,FClass,VMT
2023,Nevada,Urban,Local,4846654690
2023,New Hampshire,Rural,Interstate,942226950
2023,New Hampshire,Rural,Other Freeways and Expressways,316915540
2023,New Hampshire,Rural,Other Principal Arterial,1026146440
2023,New Hampshire,Rural,Minor Arterial,1116287700
2023,New Hampshire,Rural,Major Collector,1137722630
2023,New Hampshire,Rural,Minor Collector,491655000
2023,New Hampshire,Rural,Local,389090000
2023,New Hampshire,Urban,Interstate,2249514280
2023,New Hampshire,Urban,Other Freeways and Expressways,1211055750
2023,New Hampshire,Urban,Other Principal Arterial,1352680200
2023,New Hampshire,Urban,Minor Arterial,1575216490
2023,New Hampshire,Urban,Major Collector,897379510
2023,New Hampshire,Urban,Minor Collector,0
2023,New Hampshire,Urban,Local,808840000
2023,New Jersey,Rural,Interstate,1250141140
2023,New Jersey,Rural,Other Freeways and Expressways,499784360
2023,New Jersey,Rural,Other Principal Arterial,661197390
2023,New Jersey,Rural,Minor Arterial,685748840
2023,New Jersey,Rural,Major Collector,797166240
2023,New Jersey,Rural,Minor Collector,151110000
2023,New Jersey,Rural,Local,796065000
2023,New Jersey,Urban,Interstate,15507774120
2023,New Jersey,Urban,Other Freeways and Expressways,12839016320
2023,New Jersey,Urban,Other Principal Arterial,16471198180
2023,New Jersey,Urban,Minor Arterial,11173091230
2023,New Jersey,Urban,Major Collector,4466160490
2023,New Jersey,Urban,Minor Collector,533408620
2023,New Jersey,Urban,Local,12174794000
2023,New Mexico,Rural,Interstate,5208938650
2023,New Mexico,Rural,Other Freeways and Expressways,0
2023,New Mexico,Rural,Other Principal Arterial,3777063910
2023,New Mexico,Rural,Minor Arterial,1758669080
2023,New Mexico,Rural,Major Collector,1734988020
2023,New Mexico,Rural,Minor Collector,420456640
2023,New Mexico,Rural,Local,4207451360
2023,New Mexico,Urban,Interstate,2664289210
2023,New Mexico,Urban,Other Freeways and Expressways,110615750
2023,New Mexico,Urban,Other Principal Arterial,4176773550
2023,New Mexico,Urban,Minor Arterial,1872879360
2023,New Mexico,Urban,Major Collector,1040646960
2023,New Mexico,Urban,Minor Collector,249453440
2023,New Mexico,Urban,Local,946467630
2023,New York,Rural,Interstate,6029998160
2023,New York,Rural,Other Freeways and Expressways,894572690
2023,New York,Rural,Other Principal Arterial,3805384030
2023,New York,Rural,Minor Arterial,3435963250
2023,New York,Rural,Major Collector,3813169630
2023,New York,Rural,Minor Collector,2534560000
2023,New York,Rural,Local,4619805000
2023,New York,Urban,Interstate,20491939700
2023,New York,Urban,Other Freeways and Expressways,17255555220
2023,New York,Urban,Other Principal Arterial,18404923250
2023,New York,Urban,Minor Arterial,16601596980
2023,New York,Urban,Major Collector,6999399760
2023,New York,Urban,Minor Collector,179316820
2023,New York,Urban,Local,15001135000
2023,North Carolina,Rural,Interstate,10703476630
2023,North Carolina,Rural,Other Freeways and Expressways,3882724730
2023,North Carolina,Rural,Other Principal Arterial,8750672630
2023,North Carolina,Rural,Minor Arterial,8172124240
2023,North Carolina,Rural,Major Collector,8567724140
2023,North Carolina,Rural,Minor Collector,3284270000
