State,Interstate,Junction,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
Wisconsin,Unknown,Total,3,1,1,6,2,3,6,3,2,0,3,30
Wisconsin,Total,Junction,121,133,139,152,162,122,131,153,164,153,169,1599
Wisconsin,Total,Non-Junction,334,292,341,351,360,360,356,381,382,362,325,3844
Wisconsin,Total,Other,52,34,43,41,35,49,40,24,26,41,35,420
Wisconsin,Total,Unknown,0,0,0,0,0,0,0,1,0,0,1,2
Wisconsin,Total,Total,507,459,523,544,557,531,527,559,572,556,530,5865
Wyoming,Interstate,Junction,0,0,0,1,0,0,0,0,0,0,0,1
Wyoming,Interstate,Non-Junction,18,26,25,33,28,22,32,24,17,25,34,284
Wyoming,Interstate,Other,2,4,0,1,1,4,7,3,4,4,8,38
Wyoming,Interstate,Total,20,30,25,35,29,26,39,27,21,29,42,323
Wyoming,Non-Interstate,Junction,7,12,14,7,12,8,10,10,7,10,10,107
Wyoming,Non-Interstate,Non-Junction,46,81,87,55,64,62,65,71,70,72,62,735
